Element, vertices.x, vertices.y, vertices.z, vertices.w
0,  10.90,  0.00, -0.449,  0.00
1,  10.811,  0.00, -0.449,  0.00
2,  10.811,  0.00,  0.00,  0.00
3,  10.90,  0.00,  0.00,  0.00
4,  10.90,  0.00, -0.322,  0.00
5,  10.91028,  0.00, -0.33315,  0.00
6,  10.92017,  0.00, -0.34313,  0.00
7,  10.92974,  0.00, -0.35198,  0.00
8,  10.93904,  0.00, -0.35974,  0.00
9,  10.94814,  0.00, -0.36644,  0.00
10,  10.95712,  0.00, -0.37212,  0.00
11,  10.96604,  0.00, -0.37683,  0.00
12,  10.97496,  0.00, -0.38059,  0.00
13,  10.98395,  0.00, -0.38345,  0.00
14,  10.99308,  0.00, -0.38545,  0.00
15,  11.00241,  0.00, -0.38662,  0.00
16,  11.012,  0.00, -0.387,  0.00
17,  11.02508,  0.00, -0.38612,  0.00
18,  11.03726,  0.00, -0.38351,  0.00
19,  11.04853,  0.00, -0.37925,  0.00
20,  11.05881,  0.00, -0.37341,  0.00
21,  11.06806,  0.00, -0.36605,  0.00
22,  11.07625,  0.00, -0.35725,  0.00
23,  11.0833,  0.00, -0.34707,  0.00
24,  11.08918,  0.00, -0.33559,  0.00
25,  11.09385,  0.00, -0.32287,  0.00
26,  11.09723,  0.00, -0.30899,  0.00
27,  11.0993,  0.00, -0.29401,  0.00
28,  11.10,  0.00, -0.278,  0.00
29,  11.10,  0.00,  0.00,  0.00
30,  11.189,  0.00,  0.00,  0.00
31,  11.189,  0.00, -0.277,  0.00
32,  11.18761,  0.00, -0.3064,  0.00
33,  11.18357,  0.00, -0.33312,  0.00
34,  11.17705,  0.00, -0.35717,  0.00
35,  11.16822,  0.00, -0.37859,  0.00
36,  11.15727,  0.00, -0.3974,  0.00
37,  11.14437,  0.00, -0.41363,  0.00
38,  11.1297,  0.00, -0.42728,  0.00
39,  11.11344,  0.00, -0.43841,  0.00
40,  11.09576,  0.00, -0.44702,  0.00
41,  11.07685,  0.00, -0.45313,  0.00
42,  11.05687,  0.00, -0.45679,  0.00
43,  11.036,  0.00, -0.458,  0.00
44,  11.02351,  0.00, -0.45748,  0.00
45,  11.01107,  0.00, -0.45595,  0.00
